stage,epoch,loss,val_auc
head,1,0.4639130760180323,0.7047842486526434
head,2,0.3802719437762311,0.7830145925858788
head,3,0.3566545938190661,0.8029024813670875
head,4,0.3472632663814645,0.8207858940660537
head,5,0.33571828039068924,0.8354237985344666
head,6,0.32495059072971344,0.8308013023865467
fine_tune,1,0.3247365202558668,0.8375956047940096
fine_tune,2,0.31887162202282954,0.8428769635150493
fine_tune,3,0.32970835425351797,0.8465129088259696
fine_tune,4,0.32105365121050883,0.8514352048748859
fine_tune,5,0.3097098054070222,0.8520836093119244
fine_tune,6,0.3057722519887121,0.8534222507303265
